dataset,classifier,accuracy,precision,recall,f1,auc,log_loss,accuracy_std,f1_std,F1,overlap_region_count,mean_feature_relevance,min_feature_relevance,max_feature_relevance,N3,mean_margin,std_margin,min_margin,outlier_score_mean,outlier_percentage,N1,decision_boundary_density,local_density_ratio,cluster_compactness_ratio,n_samples,n_features,imbalance_ratio,majority_class_count,minority_class_count
03subcl5-600-5-30-BI,Random Forest,0.8916666666666666,0.9162046484261135,0.9578763521747934,0.936026417574881,0.8967418594570432,0.4399330695281877,0.021730674684008862,0.014688062226301738,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,XGBoost,0.8733333333333333,0.9213082816652273,0.9278801455119015,0.9241423346867028,0.8635093969771086,0.3681230507470734,0.013333333333333355,0.008692706688890946,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,LightGBM,0.8616666666666667,0.9234006777722442,0.9100859653062949,0.9163058640023216,0.8849986263852768,0.3599010543932352,0.01943650631615101,0.01217550487817076,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Logistic Regression,0.5383333333333333,0.847531016289782,0.5467260392371126,0.6624526242297349,0.5604605417144769,0.6905286586159629,0.0423608834237961,0.0386797047592357,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Extra Trees,0.8666666666666666,0.8966510061625611,0.9498569874779618,0.921914953538937,0.8710905031329503,0.46455943662316174,0.02981423969999722,0.018712843573500518,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Bagging,,,,,,,,,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Stacking,,,,,,,,,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-800-7-60-BI,SVM,0.7325,0.9696918809052576,0.7174547718369274,0.8233280359286443,0.8534159094129979,0.28745666741023823,0.04246321937865757,0.031603345549306536,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,k-NN,0.875,0.8939517454017745,0.973229248051593,0.9314302667181114,0.7945111374265292,1.016715882948344,0.0197642353760524,0.011730051261727966,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,Decision Tree,0.85625,0.9153199771094542,0.9223473230283338,0.918217960698505,0.6546228593751293,5.181275174685591,0.016298006013006613,0.008488170708811428,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,Neural Network,0.875,0.875,1.0,0.9330104881388165,0.7186526342949062,0.6365236949306659,0.032834813841409266,0.018436697104699275,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,Naive Bayes,0.875,0.875,1.0,0.9330104881388165,0.8384945928199974,0.31179838881041866,0.032834813841409266,0.018436697104699275,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,Random Forest,0.8787499999999999,0.9017226318928067,0.9675628556204948,0.9330187951756154,0.8565995511348108,0.4776114830296551,0.019202864369671533,0.011284242258235735,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,XGBoost,0.87625,0.9104413517186478,0.9536987982408434,0.9308536723042933,0.8299325994771118,0.3502335172872759,0.015512092057488557,0.009063750533807424,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
03subcl5-800-7-60-BI,LightGBM,0.8574999999999999,0.9280551098079268,0.909256002584072,0.9179490320999756,0.8424276013498279,0.37654998782575233,0.02284458360312134,0.011890771949076043,0.0030086361908407,2,0.5,0.4518261715735124,0.5481738284264877,0.22,1.0000013281933706,1.3021697679972928e-05,0.9999766025252002,-1.0,1.0,0.1125,0.1,2.1187922716444803,0.6588504282765331,800,2,7.0,700,100
