dataset,F1,overlap_region_count,mean_feature_relevance,N3,mean_margin,outlier_percentage,N1,decision_boundary_density,local_density_ratio,cluster_compactness_ratio,imbalance_ratio,f1,auc,accuracy
led7digit-0-2-4-5-6-7-8-9_vs_1,1.9568130239409551,7,0.1428571428571428,0.12,3.176790776153499,0.7246049661399548,0.0428893905191873,0.1060948081264108,2.083474167733385,0.5758222753674553,10.972972972972974,0.6334646000476155,0.9075855897914722,0.92926455566905
ecoli-0-1-4-7_vs_5-6,0.912446463500078,6,0.1666666666666666,0.01,2.8225283678176694,0.9307228915662652,0.0210843373493975,0.1024096385542168,1.8385131367205392,1.413897109094442,12.28,0.7234214659704856,0.9471975439214995,0.9605105784210262
04clover5z-600-5-70-BI,0.0051278981084834,2,0.5,0.2,1.000030456432714,1.0,0.1916666666666666,0.1,1.6060963680142168,0.5909464919067053,5.0,0.8604300723009427,0.7794927137531213,0.7796296296296297
cleveland-0_vs_4,1.3441900204417756,13,0.0769230769230768,0.0232558139534883,4.100973206362371,0.9942196531791908,0.0462427745664739,0.1040462427745664,1.674151187727032,1.0773584491689336,12.307692307692308,0.5370723104056437,0.9274270748812179,0.9316754850088184
paw02a-800-7-30-BI,0.0046682191927047,2,0.5,0.11,0.9999961716577372,1.0,0.0575,0.1,1.5510232414496523,0.4980205313178958,7.0,0.9151786989334916,0.876202331758984,0.86625
yeast-2_vs_8,1.1424141443126326,8,0.125,0.03,1.0247304482570645,0.9107883817427386,0.0207468879668049,0.1016597510373444,2.2566661013055587,1.7485713644096892,23.1,0.4239134198518302,0.8163780052321129,0.894372852233677
03subcl5-600-5-0-BI,0.0073851393451956,2,0.5,0.1,0.999999765672846,1.0,0.0683333333333333,0.1,1.2928707635848964,0.5804442794938622,5.0,0.9197435602797022,0.911950224025902,0.8807407407407407
ecoli-0-3-4_vs_5,1.6323006424412965,7,0.6122358107374676,0.03,2.5794382861027367,0.135,0.09,0.0,5.626666666666666,0.75834413861799,9.0,0.7126780145665594,0.9407341702604861,0.8966666666666667
03subcl5-600-5-60-BI,0.0029005842297254,2,0.5,0.26,0.999999130234166,1.0,0.1516666666666666,0.1,1.7597119346750496,0.6493658622957396,5.0,0.8608488809335222,0.7897039780858716,0.782962962962963
03subcl5-800-7-70-BI,0.0024568988912677,2,0.5,0.12,0.9999278190704104,1.0,0.13375,0.1,2.068007277352559,0.6815015328732621,7.0,0.8800285298168907,0.7649451257580205,0.8058333333333333
04clover5z-800-7-70-BI,0.0081361484257262,2,0.5,0.24,1.000013478089851,1.0,0.13375,0.1,1.9238457524205657,0.6005658928187947,7.0,0.8823460549409012,0.7786960699126362,0.8093055555555555
ecoli-0-2-3-4_vs_5,1.6179537892448428,7,0.6049526962514349,0.0346534653465346,2.560287005521103,0.1287128712871287,0.0792079207920792,0.0,5.653465346534653,0.7633969142522522,9.1,0.7129644469429415,0.9243300705246009,0.8979268292682927
yeast-0-5-6-7-9_vs_4,1.050747084620418,8,0.1745715913919611,0.106,1.7877543791934964,0.0681818181818181,0.2689393939393939,0.0113636363636363,4.837089646464647,1.4608071886087886,9.352941176470589,0.38713505263185166,0.846624656799609,0.8034740940401318
yeast5,4.197601595086512,8,0.1249999999999999,0.01,3.7628898624184295,0.9454177897574124,0.013477088948787,0.1004043126684636,1.447326871119924,0.7313921572156321,32.72727272727273,0.6095988119670405,0.9727373353866603,0.9383732217065551
glass-0-1-6_vs_2,0.2691693790327173,9,0.111111111111111,0.1875,1.0002588680168267,0.8385416666666666,0.09375,0.1041666666666666,1.2346751780568537,0.6844209271403572,10.294117647058824,0.14229943984845944,0.7047244626408068,0.8065677013045434
ecoli-0-1-4-7_vs_2-3-5-6,0.5275120123671772,7,0.1428571428571428,0.06,2.758084082569491,0.9285714285714286,0.0267857142857142,0.1011904761904761,2.6481534551927344,1.7116217481040148,10.586206896551724,0.6331412464002764,0.909734656012335,0.9444785874548826
